"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K03269",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K03270",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03271",1,1,2,2,1,1,2,1,2,2,1,1
"KO:K03272",1,1,1,1,1,1,2,1,1,1,1,1
"KO:K03340",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K03394",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03430",0,0,2,2,0,1,0,0,0,0,1,1
"KO:K03473",1,1,2,2,1,1,2,1,1,1,1,1
"KO:K03474",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03517",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03524",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03525",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03526",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03527",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03639",0,1,0,0,0,0,0,0,0,0,0,0
"KO:K03644",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03737",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K03783",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03786",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K03787",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K03801",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K04041",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K04486",2,2,2,2,2,2,3,1,2,2,2,2
"KO:K04516",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K04518",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K05306",0,0,1,1,0,1,0,0,0,0,1,1
"KO:K05349",20,18,22,22,23,19,22,23,17,17,22,16
"KO:K05366",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K05606",1,2,1,1,1,2,2,2,1,1,1,1
"KO:K06001",1,1,1,1,1,1,1,1,1,1,1,1
